,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,C3,C3_NM,C3_NM_ENG,C3_OBJ_NM,C3_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
28,01,아파트,Apartments,주택유형,Region,a13,세종,Sejong,지역,Region,04,연령4,Age4,건축연령,Region,98.01452474,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
29,01,아파트,Apartments,주택유형,Region,a13,세종,Sejong,지역,Region,05,연령5,Age5,건축연령,Region,97.50535189,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
30,01,아파트,Apartments,주택유형,Region,a14,강원,Gangwon,지역,Region,01,연령1,Age1,건축연령,Region,95.86355394,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
31,01,아파트,Apartments,주택유형,Region,a14,강원,Gangwon,지역,Region,02,연령2,Age2,건축연령,Region,95.0104744,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
32,01,아파트,Apartments,주택유형,Region,a14,강원,Gangwon,지역,Region,03,연령3,Age3,건축연령,Region,92.51545353,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
33,01,아파트,Apartments,주택유형,Region,a14,강원,Gangwon,지역,Region,04,연령4,Age4,건축연령,Region,92.757786,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
34,01,아파트,Apartments,주택유형,Region,a14,강원,Gangwon,지역,Region,05,연령5,Age5,건축연령,Region,94.10707186,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
35,01,아파트,Apartments,주택유형,Region,a15,충북,Chungbuk,지역,Region,01,연령1,Age1,건축연령,Region,95.11357102,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
36,01,아파트,Apartments,주택유형,Region,a15,충북,Chungbuk,지역,Region,02,연령2,Age2,건축연령,Region,94.08502791,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
37,01,아파트,Apartments,주택유형,Region,a15,충북,Chungbuk,지역,Region,03,연령3,Age3,건축연령,Region,92.57080796,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
38,01,아파트,Apartments,주택유형,Region,a15,충북,Chungbuk,지역,Region,04,연령4,Age4,건축연령,Region,90.73816366,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
39,01,아파트,Apartments,주택유형,Region,a15,충북,Chungbuk,지역,Region,05,연령5,Age5,건축연령,Region,91.30097281,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
40,01,아파트,Apartments,주택유형,Region,a16,충남,Chungnam,지역,Region,01,연령1,Age1,건축연령,Region,96.36012709,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
41,01,아파트,Apartments,주택유형,Region,a16,충남,Chungnam,지역,Region,02,연령2,Age2,건축연령,Region,95.6734852,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
42,01,아파트,Apartments,주택유형,Region,a16,충남,Chungnam,지역,Region,03,연령3,Age3,건축연령,Region,95.28329419,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
43,01,아파트,Apartments,주택유형,Region,a16,충남,Chungnam,지역,Region,04,연령4,Age4,건축연령,Region,92.49909971,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
44,01,아파트,Apartments,주택유형,Region,a16,충남,Chungnam,지역,Region,05,연령5,Age5,건축연령,Region,92.43056893,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
45,01,아파트,Apartments,주택유형,Region,a17,전북,Jeonbuk,지역,Region,01,연령1,Age1,건축연령,Region,99.39920492,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
46,01,아파트,Apartments,주택유형,Region,a17,전북,Jeonbuk,지역,Region,02,연령2,Age2,건축연령,Region,97.39730179,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
47,01,아파트,Apartments,주택유형,Region,a17,전북,Jeonbuk,지역,Region,03,연령3,Age3,건축연령,Region,96.75390357,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
48,01,아파트,Apartments,주택유형,Region,a17,전북,Jeonbuk,지역,Region,04,연령4,Age4,건축연령,Region,95.68000106,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
49,01,아파트,Apartments,주택유형,Region,a17,전북,Jeonbuk,지역,Region,05,연령5,Age5,건축연령,Region,97.92717487,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
50,01,아파트,Apartments,주택유형,Region,a18,전남,Jeonnam,지역,Region,01,연령1,Age1,건축연령,Region,101.584579,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
51,01,아파트,Apartments,주택유형,Region,a18,전남,Jeonnam,지역,Region,02,연령2,Age2,건축연령,Region,101.7390062,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
52,01,아파트,Apartments,주택유형,Region,a18,전남,Jeonnam,지역,Region,03,연령3,Age3,건축연령,Region,103.6437194,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
53,01,아파트,Apartments,주택유형,Region,a18,전남,Jeonnam,지역,Region,04,연령4,Age4,건축연령,Region,104.6915469,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
54,01,아파트,Apartments,주택유형,Region,a18,전남,Jeonnam,지역,Region,05,연령5,Age5,건축연령,Region,100.9783118,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
55,01,아파트,Apartments,주택유형,Region,a19,경북,Gyeongbuk,지역,Region,01,연령1,Age1,건축연령,Region,96.76279272,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
56,01,아파트,Apartments,주택유형,Region,a19,경북,Gyeongbuk,지역,Region,02,연령2,Age2,건축연령,Region,94.83361646,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
57,01,아파트,Apartments,주택유형,Region,a19,경북,Gyeongbuk,지역,Region,03,연령3,Age3,건축연령,Region,92.69962907,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
58,01,아파트,Apartments,주택유형,Region,a19,경북,Gyeongbuk,지역,Region,04,연령4,Age4,건축연령,Region,91.61876474,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
59,01,아파트,Apartments,주택유형,Region,a19,경북,Gyeongbuk,지역,Region,05,연령5,Age5,건축연령,Region,90.56128663,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
60,01,아파트,Apartments,주택유형,Region,a2,지방,Non-Seoul Metropolitan Area,지역,Region,01,연령1,Age1,건축연령,Region,98.36538616,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
61,01,아파트,Apartments,주택유형,Region,a2,지방,Non-Seoul Metropolitan Area,지역,Region,02,연령2,Age2,건축연령,Region,98.2645383,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
62,01,아파트,Apartments,주택유형,Region,a2,지방,Non-Seoul Metropolitan Area,지역,Region,03,연령3,Age3,건축연령,Region,95.75227511,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
63,01,아파트,Apartments,주택유형,Region,a2,지방,Non-Seoul Metropolitan Area,지역,Region,04,연령4,Age4,건축연령,Region,94.99018576,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
64,01,아파트,Apartments,주택유형,Region,a2,지방,Non-Seoul Metropolitan Area,지역,Region,05,연령5,Age5,건축연령,Region,95.18094907,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
65,01,아파트,Apartments,주택유형,Region,a20,경남,Gyeongnam,지역,Region,01,연령1,Age1,건축연령,Region,93.17544731,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
66,01,아파트,Apartments,주택유형,Region,a20,경남,Gyeongnam,지역,Region,02,연령2,Age2,건축연령,Region,92.08309529,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
67,01,아파트,Apartments,주택유형,Region,a20,경남,Gyeongnam,지역,Region,03,연령3,Age3,건축연령,Region,88.21037027,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
68,01,아파트,Apartments,주택유형,Region,a20,경남,Gyeongnam,지역,Region,04,연령4,Age4,건축연령,Region,88.59967546,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
69,01,아파트,Apartments,주택유형,Region,a20,경남,Gyeongnam,지역,Region,05,연령5,Age5,건축연령,Region,88.81788508,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
70,01,아파트,Apartments,주택유형,Region,a21,제주,Jeju,지역,Region,01,연령1,Age1,건축연령,Region,96.32252925,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
71,01,아파트,Apartments,주택유형,Region,a21,제주,Jeju,지역,Region,02,연령2,Age2,건축연령,Region,97.63886524,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
72,01,아파트,Apartments,주택유형,Region,a21,제주,Jeju,지역,Region,03,연령3,Age3,건축연령,Region,95.16893049,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
73,01,아파트,Apartments,주택유형,Region,a21,제주,Jeju,지역,Region,04,연령4,Age4,건축연령,Region,94.8261241,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
74,01,아파트,Apartments,주택유형,Region,a21,제주,Jeju,지역,Region,05,연령5,Age5,건축연령,Region,97.59014918,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
75,01,아파트,Apartments,주택유형,Region,a22,6대광역시,6 Large Cities,지역,Region,01,연령1,Age1,건축연령,Region,100.5658005,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
76,01,아파트,Apartments,주택유형,Region,a22,6대광역시,6 Large Cities,지역,Region,02,연령2,Age2,건축연령,Region,101.6090925,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
77,01,아파트,Apartments,주택유형,Region,a22,6대광역시,6 Large Cities,지역,Region,03,연령3,Age3,건축연령,Region,98.85539204,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
78,01,아파트,Apartments,주택유형,Region,a22,6대광역시,6 Large Cities,지역,Region,04,연령4,Age4,건축연령,Region,98.17888511,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
